Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
78,0.2225496768951416,6.0,5.2,4.2,1.0,0.7
79,0.221757173538208,6.0,5.6,3.8,1.0,0.7
80,0.2218771457672119,6.0,5.2,4.0,1.0,0.7
81,0.21682443618774414,6.0,6.0,4.0,1.0,0.7
82,0.239241886138916,6.0,5.8,3.8,1.0,0.7
83,0.21416521072387695,6.0,5.2,4.4,1.0,0.7
84,0.2134979248046875,6.0,5.2,4.2,1.0,0.7
85,0.2174513339996338,6.0,5.8,4.2,1.0,0.7
86,0.2275007724761963,6.0,5.4,3.4,1.0,0.7
87,0.23881902694702148,6.0,5.2,4.0,1.0,0.7
88,0.23460044860839843,6.0,5.6,3.6,1.0,0.7
89,0.22959580421447753,6.0,5.6,4.2,1.0,0.7
90,0.2380643367767334,6.0,5.2,4.0,1.0,0.7
91,0.2420414447784424,6.0,5.8,4.0,1.0,0.7
92,0.23568906784057617,6.0,5.6,4.4,1.0,0.7
93,0.2513259410858154,6.0,5.6,4.6,1.0,0.7
94,0.2527332305908203,6.0,5.6,4.4,1.0,0.7
95,0.2564581871032715,6.0,5.8,4.4,1.0,0.7
96,0.23857927322387695,6.0,5.6,4.4,1.0,0.7
97,0.24002065658569335,6.0,5.2,4.6,1.0,0.7
98,0.2575988292694092,6.0,5.4,4.2,1.0,0.7
99,0.25081543922424315,6.0,5.8,4.0,1.0,0.7
100,0.23502635955810547,6.0,5.6,4.4,1.0,0.7
101,0.2731058120727539,6.0,5.2,4.4,1.0,0.7
102,0.2651087284088135,6.0,5.2,4.2,1.0,0.7
103,0.2808588981628418,6.0,5.2,4.2,1.0,0.7
104,0.2847119331359863,6.0,5.8,3.8,1.0,0.7
105,0.2756300926208496,6.0,5.8,4.2,1.0,0.7
106,0.28638710975646975,7.0,5.6,4.0,1.0,0.7
107,0.27170658111572266,6.0,5.2,4.4,1.0,0.7
108,0.28821573257446287,6.0,5.6,4.2,1.0,0.7
109,0.3010552406311035,6.0,5.2,4.2,1.0,0.7
110,0.2985679626464844,6.0,5.2,4.2,1.0,0.7
111,0.2973481178283691,6.0,5.6,4.0,1.0,0.7
112,0.3083709716796875,6.0,5.4,4.4,1.0,0.7
